Date,AAPL US Equity
3/8/2014,71.501
3/9/2014,71.501
3/10/2014,71.5657
3/11/2014,72.2626
3/12/2014,72.3327
3/13/2014,71.5293
3/14/2014,70.726
3/15/2014,70.726
3/16/2014,70.726
3/17/2014,71.0023
3/18/2014,71.6304
3/19/2014,71.6116
3/20/2014,71.2665
3/21/2014,71.8286
3/22/2014,71.8286
3/23/2014,71.8286
3/24/2014,72.6805
3/25/2014,73.4623
3/26/2014,72.76
3/27/2014,72.4473
3/28/2014,72.3664
3/29/2014,72.3664
3/30/2014,72.3664
3/31/2014,72.3502
4/1/2014,73.0121
4/2/2014,73.1334
4/3/2014,72.6266
4/4/2014,71.687
4/5/2014,71.687
4/6/2014,71.687
4/7/2014,70.5615
4/8/2014,70.5575
4/9/2014,71.4849
4/10/2014,70.5629
4/11/2014,70.0412
4/12/2014,70.0412
4/13/2014,70.0412
4/14/2014,70.3202
4/15/2014,69.8188
4/16/2014,69.9603
4/17/2014,70.7597
4/18/2014,70.7597
4/19/2014,70.7597
4/20/2014,70.7597
4/21/2014,71.5994
4/22/2014,71.6707
4/23/2014,70.734
4/24/2014,76.533
4/25/2014,77.0951
4/26/2014,77.0951
4/27/2014,77.0951
4/28/2014,80.0808
4/29/2014,79.8435
4/30/2014,79.5416
5/1/2014,79.729
5/2/2014,79.8772
5/3/2014,79.8772
5/4/2014,79.8772
5/5/2014,81.0068
5/6/2014,80.1239
5/7/2014,79.8435
5/8/2014,79.7012
5/9/2014,79.3695
5/10/2014,79.3695
5/11/2014,79.3695
5/12/2014,80.3573
5/13/2014,80.4833
5/14/2014,80.4982
5/15/2014,79.8137
5/16/2014,80.9916
5/17/2014,80.9916
5/18/2014,80.9916
5/19/2014,81.9513
5/20/2014,81.9676
5/21/2014,82.1845
5/22/2014,82.3146
5/23/2014,83.2444
5/24/2014,83.2444
5/25/2014,83.2444
5/26/2014,83.2444
5/27/2014,84.8033
5/28/2014,84.5837
5/29/2014,86.1249
5/30/2014,85.8022
5/31/2014,85.8022
6/1/2014,85.8022
6/2/2014,85.2126
6/3/2014,86.4176
6/4/2014,87.4044
6/5/2014,87.7474
6/6/2014,87.5061
6/7/2014,87.5061
6/8/2014,87.5061
6/9/2014,88.9063
6/10/2014,89.4282
6/11/2014,89.0581
6/12/2014,87.5684
6/13/2014,86.6101
6/14/2014,86.6101
6/15/2014,86.6101
6/16/2014,87.4831
6/17/2014,87.3692
6/18/2014,87.4641
6/19/2014,87.1604
6/20/2014,86.259
6/21/2014,86.259
6/22/2014,86.259
6/23/2014,86.1831
6/24/2014,85.6613
6/25/2014,85.7372
6/26/2014,86.2496
6/27/2014,87.2743
6/28/2014,87.2743
6/29/2014,87.2743
6/30/2014,88.1757
7/1/2014,88.7355
7/2/2014,88.6976
7/3/2014,89.2194
7/4/2014,89.2194
7/5/2014,89.2194
7/6/2014,89.2194
7/7/2014,91.0583
7/8/2014,90.4719
7/9/2014,90.5099
7/10/2014,90.173
7/11/2014,90.3485
7/12/2014,90.3485
7/13/2014,90.3485
7/14/2014,91.5156
7/15/2014,90.4434
7/16/2014,89.9311
7/17/2014,88.3274
7/18/2014,89.599
7/19/2014,89.599
7/20/2014,89.599
7/21/2014,89.1331
7/22/2014,89.8741
7/23/2014,92.2178
7/24/2014,92.0659
7/25/2014,92.6742
7/26/2014,92.6742
7/27/2014,92.6742
7/28/2014,93.9541
7/29/2014,93.3469
7/30/2014,93.1286
7/31/2014,90.7091
8/1/2014,91.212
8/2/2014,91.212
8/3/2014,91.212
8/4/2014,90.6996
8/5/2014,90.2537
8/6/2014,90.1018
8/7/2014,90.0923
8/8/2014,90.3402
8/9/2014,90.3402
8/10/2014,90.3402
8/11/2014,91.5322
8/12/2014,91.5131
8/13/2014,92.7241
8/14/2014,92.9721
